,Date,State/UT,Latitude,Longitude,Confirmed,Active,Deaths,Mortality rate,Cured,Recovery rate
203,2020/03/18,Telengana,18.1124,79.0193,6,5,0,0.0,1,0.16666666666666666
204,2020/03/18,Jammu and Kashmir,33.7782,76.5762,3,3,0,0.0,0,0.0
205,2020/03/18,Ladakh,34.2996,78.2932,8,8,0,0.0,0,0.0
206,2020/03/18,Uttar Pradesh,26.8467,80.9462,16,11,0,0.0,5,0.3125
207,2020/03/18,Uttarakhand,30.0668,79.0193,1,1,0,0.0,0,0.0
208,2020/03/18,West Bengal,22.9868,87.855,1,1,0,0.0,0,0.0
209,2020/03/19,Andhra Pradesh,15.9129,79.74,2,2,0,0.0,0,0.0
210,2020/03/19,Chhattisgarh,21.2787,81.8661,1,1,0,0.0,0,0.0
211,2020/03/19,Delhi,28.7041,77.1025,12,8,1,0.08333333333333333,3,0.25
212,2020/03/19,Haryana,29.0588,76.0856,17,17,0,0.0,0,0.0
213,2020/03/19,Karnataka,15.3173,75.7139,14,13,1,0.07142857142857142,0,0.0
214,2020/03/19,Kerala,10.8505,76.2711,27,24,0,0.0,3,0.1111111111111111
215,2020/03/19,Maharashtra,19.7515,75.7139,47,46,1,0.02127659574468085,0,0.0
216,2020/03/19,Odisha,20.9517,85.0985,1,1,0,0.0,0,0.0
217,2020/03/19,Puducherry,11.9416,79.8083,1,1,0,0.0,0,0.0
218,2020/03/19,Punjab,31.1471,75.3412,2,1,1,0.5,0,0.0
219,2020/03/19,Rajasthan,27.0238,74.2179,7,4,0,0.0,3,0.42857142857142855
220,2020/03/19,Tamil Nadu,11.1271,78.6569,2,1,0,0.0,1,0.5
221,2020/03/19,Telengana,18.1124,79.0193,6,5,0,0.0,1,0.16666666666666666
222,2020/03/19,Chandigarh,30.7333,76.7794,1,1,0,0.0,0,0.0
223,2020/03/19,Jammu and Kashmir,33.7782,76.5762,4,4,0,0.0,0,0.0
224,2020/03/19,Ladakh,34.2996,78.2932,8,8,0,0.0,0,0.0
225,2020/03/19,Uttar Pradesh,26.8467,80.9462,19,10,0,0.0,9,0.47368421052631576
226,2020/03/19,Uttarakhand,30.0668,79.0193,1,1,0,0.0,0,0.0
227,2020/03/19,West Bengal,22.9868,87.855,1,1,0,0.0,0,0.0
228,2020/03/20,Andhra Pradesh,15.9129,79.74,2,2,0,0.0,0,0.0
229,2020/03/20,Chhattisgarh,21.2787,81.8661,1,1,0,0.0,0,0.0
230,2020/03/20,Delhi,28.7041,77.1025,17,13,1,0.058823529411764705,3,0.17647058823529413
231,2020/03/20,Gujarat,22.2587,71.1924,2,2,0,0.0,0,0.0
232,2020/03/20,Haryana,29.0588,76.0856,17,17,0,0.0,0,0.0
233,2020/03/20,Karnataka,15.3173,75.7139,15,14,1,0.06666666666666667,0,0.0
234,2020/03/20,Kerala,10.8505,76.2711,28,25,0,0.0,3,0.10714285714285714
235,2020/03/20,Maharashtra,19.7515,75.7139,47,46,1,0.02127659574468085,0,0.0
236,2020/03/20,Odisha,20.9517,85.0985,1,1,0,0.0,0,0.0
237,2020/03/20,Puducherry,11.9416,79.8083,1,1,0,0.0,0,0.0
238,2020/03/20,Punjab,31.1471,75.3412,2,1,1,0.5,0,0.0
239,2020/03/20,Rajasthan,27.0238,74.2179,7,4,0,0.0,3,0.42857142857142855
240,2020/03/20,Tamil Nadu,11.1271,78.6569,3,2,0,0.0,1,0.3333333333333333
241,2020/03/20,Telengana,18.1124,79.0193,16,15,0,0.0,1,0.0625
242,2020/03/20,Chandigarh,30.7333,76.7794,1,1,0,0.0,0,0.0
243,2020/03/20,Jammu and Kashmir,33.7782,76.5762,4,4,0,0.0,0,0.0
244,2020/03/20,Ladakh,34.2996,78.2932,10,10,0,0.0,0,0.0
245,2020/03/20,Uttar Pradesh,26.8467,80.9462,19,10,0,0.0,9,0.47368421052631576
246,2020/03/20,Uttarakhand,30.0668,79.0193,1,1,0,0.0,0,0.0
247,2020/03/20,West Bengal,22.9868,87.855,1,1,0,0.0,0,0.0
248,2020/03/21,Andhra Pradesh,15.9129,79.74,3,3,0,0.0,0,0.0
249,2020/03/21,Chandigarh,30.7333,76.7794,1,1,0,0.0,0,0.0
250,2020/03/21,Chhattisgarh,21.2787,81.8661,1,1,0,0.0,0,0.0
